'UNIFAC group parameters,,,,,,
'ID,SUB_ID,Main groups,Group,Rk,Qk,example
38,71,ACF,ACF,0.6948,0.524,hexafluorobenzene:  6*ACF
39,72,DMF,DMF,3.0856,2.736,n.n-dimethylformamide: 1*DMF
39,73,DMF,HCON(CH2)2,2.6322,2.12,n.n-diethylformamide: 2*CH3 1*HCON(CH2)2
40,74,CF2,CF3,1.406,1.38,perfluorohexane: 2*CF3 4*CF2
40,75,CF2,CF2,1.0105,0.92,perfluorohexane: 2*CF3 4*CF2
40,76,CF2,CF,0.615,0.46,perfluoromethylcyclohexane: 1*CF3 5*CF2 1*CF
41,77,COO,COO,1.38,1.2,methyl acrylate: 1*CH3 1*CH2=CH 1*COO
42,78,SiH2,SiH3,1.6035,1.263,methylsilane: 1*CH3 1*SiH3
42,79,SiH2,SiH2,1.4443,1.006,diethylsilane: 2*CH3 2*CH2 1*SiH2
42,80,SiH2,SiH,1.2853,0.749,heptamethyltrisiloxane:  7*CH3 2*SiO 1*SiH
42,81,SiH2,Si,1.047,0.41,heptamethyldisiloxane:  6*CH3 1*SiO 1*Si
43,82,SiO,SiH2O,1.4838,1.062,1.3-dimethyldisiloxane: 3*CH3 1*SiH2O 1*SiH2
43,83,SiO,SiHO,1.303,0.764,1.1.3.3-tetramethyldisiloxane: 4*CH3 1*SiHO 1*SiH
43,84,SiO,SiO,1.1044,0.466,octamethylcyclotetrasiloxane:  8*CH3 4*SiO
44,85,NMP,NMP,3.981,3.2,n-methylpyrrolidone: 1*NMP
45,86,CClF,CCl3F,3.0356,2.644,trichlorofluoromethane: 1*CCl3F
45,87,CClF,CCl2F,2.2287,1.916,tetrachloro-1.2-difluoroethane: 2*CCl2F
45,88,CClF,HCCl2F,2.406,2.116,dichlorofluoromethane: 1*HCCl2F
45,89,CClF,HCClF,1.6493,1.416,1-chloro-1.2.2.2-tetrafluoroethane: 1*CF3 1*HCClF
45,90,CClF,CClF2,1.8174,1.648,1.2-dichlorotetrafluoroethane: 2*CClF2
45,91,CClF,HCClF2,1.967,1.828,chlorodifluoromethane: 1*HCClF2
45,92,CClF,CClF3,2.1721,2.1,chlorotrifluoromethane: 1*CClF3
45,93,CClF,CCl2F2,2.6243,2.376,dichlorodifluoromethane: 1*CCl2F2
46,94,CON,CONH2,1.4515,1.248,acetamide: 1*CH3 1*CONH2
46,95,CON,CONHCH3,2.1905,1.796,n-methylacetamide: 1*CH3 1*CONHCH3
46,96,CON,CONHCH2,1.9637,1.488,n-ethylacetamide: 2*CH3 1*CONHCH2
46,97,CON,CON(CH3)2,2.8589,2.428,n.n-dimethylacetamid: 1*CH3 1*CON(CH3)2
46,98,CON,CONCH3CH2,2.6322,2.12,n.n-methylethylacetamid: 2*CH3 1*CONCH3CH2
46,99,CON,CON(CH2)2,2.4054,1.812,n.n-diethylacetamid: 3*CH3 1*CON(CH2)2
47,100,OCCOH,C2H5O2,2.1226,1.904,2-ethoxyethanol: 1*CH3 1*CH2 1*C2H5O2
47,101,OCCOH,C2H4O2,1.8952,1.592,2-ethoxy-1-propanol: 2*CH3 1*CH2 1*C2H4O2
48,102,CH2S,CH3S,1.613,1.368,dimethylsulphide: 1*CH3 1*CH3S
48,103,CH2S,CH2S,1.3863,1.06,diethylsulphide: 2*CH3 1*CH2 1*CH2S
48,104,CH2S,CHS,1.1589,0.748,diisopropylsulphide: 4*CH3 1*CH 1*CHS
49,105,Morpholine,morpholine,3.474,2.796,morpholine: 1*MORPH
50,106,Thiophene,C4H4S,2.8569,2.14,thiophene: 1*C4H4S
50,107,Thiophene,C4H3S,2.6908,1.86,2-methylthiophene: 1*CH3 1*C4H3S
50,108,Thiophene,C4H2S,2.5247,1.58,2 3-dimethylthiophene: 2*CH3 1*C4H2S
