main;group;subgroup;no.;Ri;Qi;;;;;;;;
34;C=-C;C=C;66;1.303;1.132;2~hexyne;2;CH3.;2;CH3.;1;C=C;
35;DMSO;DMSO;67;3.6;2.692;dimethyl;sulfoxide;1;DMSO;;;;
36;ACRY;aorylonitrile;68;1;0.92;acrylonitrlle;1;acrylonitrile;;;;;
37;ClCC;CI(C=C);69;0.5229;0.7391;trichloroethylene;1;CH==C.;3;C1(C=C);;;
2;C=C;C=C;70;1.2832;0.4582;2.3-dimethyl-2-butene;4;CH3.;1;Céi;;;
38;ACF;ACF;71;0.8814;0.7269;hexufluorobenzene;6;ACF;;;;;
39;DMF;DMF;72;2;2.093;N.N-dimethylformamide;1;DMF;;;;;
39;DMF;HCON(CH2)2;73;2.381;1.522;N.N·diethyIfo1·mamide;2;CH3.;1;HCON(CH3)2;;;
40;CF2;CF3;74;1.284;1.266;1.1.1-trifluoroethane;1;CH3.;1;CF3;;;
40;CF2;CF2;75;1.284;1.098;perfluorohexane;2;CF3.;4;CF.;;;
40;CF2;CF;76;0.8215;0.5135;perfluoromethylcyclohexane;1;CF3.;5;CF.1;CF;;
41;COO;COO;77;1.6;0.9;methyl;acrylate;1;CH3.;1;CH3=CH.;1;COO
42;c-CH3;c-CH3;78;0.7136;0.8635;cyclohexane;6;c-CH3;;;;;
42;c-CH3;c-CH;79;0.3479;0.1071;methylcyclohexane;1;CH3.;5;c-CH3.;1;c-CH;
42;c-CH3;c-C;80;0.347;0;1.1-dimethylcyclohexane;2;CH3.;5;c-CH3.;1;c-C;
5;OH;OH(e);81;1.063;0.8663;2-pmpanol;2;CH3.;1;CH.;1;OH;(e)
5;OH;OH(t);82;0.6895;0.8345;tert-butanol;3;CH3.;1;C.;1;OH;(t)
43;c-CH2O;c-CH2O[CH2]1/2;83;1.4046;1.4;1.3-dioxane;1;c-CH3.;2;c-CH3O[CH3]1/2;;;
44;c-CH2O;c-[CH2]1/2O[CH2]1/3;84;1.0413;1.0116;1.3.5-trioxane;3;c-[CH3]1;3O[CH2]1/2;;;;
14;CNH2;CNH2;85;1.6607;0.985;tcrt·butyIamine;3;CH3.;1;CNH3;;;
